transaction_id,transaction_date,transaction_time,transaction_qty,store_id,store_location,unit_price,product_category,product_type
1,04/14/2023,11:52:04,1,3,Eindhoven,3.25,Tea,Chai tea
2,04/15/2023,09:52:21,1,3,Eindhoven,3.5,Coffee,Milk coffee
3,04/13/2023,08:21:25,2,3,Eindhoven,4.25,Coffee,Syrup coffee
4,04/13/2023,14:40:02,4,3,Eindhoven,3.5,Tea,Herbal tea
5,04/13/2023,11:59:18,1,2,Utrecht,4.5,Chocolate,Hot chocolate
6,04/11/2023,16:11:49,1,2,Utrecht,3.0,Bakery,Scone
7,04/11/2023,17:48:08,2,3,Eindhoven,4.5,Chocolate,Hot chocolate
8,04/12/2023,17:45:14,1,2,Utrecht,3.75,Bakery,Sandwich
9,04/12/2023,11:38:31,6,2,Utrecht,3.5,Bakery,Pie
10,04/15/2023,19:03:01,4,3,Eindhoven,3.25,Tea,Chai tea
11,04/11/2023,11:06:38,2,2,Utrecht,3.25,Tea,Chai tea
12,04/15/2023,19:47:10,2,1,Amsterdam,4.5,Chocolate,Hot chocolate
13,04/14/2023,14:00:10,1,,Amsterdam,3.5,Tea,Herbal tea
14,04/12/2023,10:31:34,1,2,Utrecht,3.0,Tea,Black tea
15,04/13/2023,06:05:09,1,,Utrecht,4.25,Coffee,Syrup coffee
16,04/13/2023,11:44:10,4,2,Utrecht,3.0,Tea,Black tea
17,04/12/2023,17:44:27,1,3,Eindhoven,4.25,Coffee,Syrup coffee
18,04/11/2023,08:46:28,3,1,Amsterdam,3.0,Bakery,Scone
19,04/10/2023,10:50:52,2,2,Utrecht,3.5,Coffee,Milk coffee
20,04/13/2023,06:49:30,1,3,Eindhoven,3.5,Tea,Herbal tea
21,04/11/2023,12:07:25,1,1,Amsterdam,4.5,Chocolate,Hot chocolate
22,04/13/2023,12:25:55,1,2,Utrecht,3.5,Bakery,Pie
23,04/14/2023,10:15:35,3,1,Amsterdam,4.25,Coffee,Syrup coffee
24,04/12/2023,10:09:52,2,1,Amsterdam,3.75,Bakery,Sandwich
25,04/16/2023,08:46:30,1,3,Eindhoven,4.25,Coffee,Syrup coffee
26,04/15/2023,12:06:51,2,2,Utrecht,6.3,Coffee,Organic blended coffee
27,04/14/2023,16:43:22,1,2,Utrecht,2.0,Coffee,Black coffee
28,04/12/2023,08:24:14,1,1,Amsterdam,2.0,Coffee,Black coffee
29,04/12/2023,10:42:24,1,1,Amsterdam,3.25,Tea,Chai tea
30,04/11/2023,18:11:19,1,1,Amsterdam,2.0,Coffee,Black coffee
31,04/16/2023,15:22:41,5,2,Utrecht,4.5,Chocolate,Hot chocolate
32,04/11/2023,16:42:21,1,2,Utrecht,4.5,Chocolate,Hot chocolate
33,04/13/2023,17:18:02,2,2,Utrecht,3.75,Bakery,Sandwich
34,04/16/2023,10:57:21,4,2,Utrecht,3.0,Tea,Black tea
35,04/12/2023,12:28:38,1,1,Amsterdam,3.15,Tea,Green tea
36,04/13/2023,10:18:23,1,2,Utrecht,2.0,Coffee,Black coffee
37,04/12/2023,11:16:29,3,2,Utrecht,3.25,Tea,Chai tea
38,04/10/2023,08:26:08,1,2,Utrecht,4.5,Chocolate,Hot chocolate
39,04/15/2023,07:02:03,2,3,Eindhoven,4.25,Coffee,Syrup coffee
40,04/14/2023,06:35:13,1,3,Eindhoven,3.0,Bakery,Scone
41,04/13/2023,11:25:37,1,2,Utrecht,3.75,Bakery,Sandwich
42,04/15/2023,16:18:18,1,2,Utrecht,3.0,Bakery,Scone
43,04/15/2023,14:59:04,2,3,Eindhoven,4.5,Chocolate,Hot chocolate
44,04/14/2023,10:08:03,2,2,Utrecht,2.0,Coffee,Black coffee
45,04/14/2023,14:41:04,2,1,Amsterdam,3.75,Bakery,Sandwich
46,04/16/2023,16:12:11,2,3,Eindhoven,4.5,Chocolate,Hot chocolate
47,04/16/2023,17:07:08,1,3,Eindhoven,4.5,Chocolate,Hot chocolate
48,04/11/2023,13:14:11,2,1,Amsterdam,2.0,Coffee,Black coffee
49,04/15/2023,10:56:27,2,2,Utrecht,3.5,Bakery,Pie
50,04/12/2023,15:12:05,1,3,Eindhoven,4.5,Chocolate,Hot chocolate
51,04/15/2023,08:57:26,2,2,Utrecht,3.75,Bakery,Sandwich
52,04/16/2023,06:29:46,2,2,Utrecht,3.5,Coffee,Milk coffee
53,04/14/2023,16:17:50,1,2,Utrecht,3.5,Coffee,Milk coffee
54,04/12/2023,17:22:04,2,2,Utrecht,4.5,Chocolate,Hot chocolate
55,04/16/2023,10:43:01,2,2,Utrecht,3.5,Tea,Herbal tea
